0,0,1.5020370483398438e-05
1359,4096,2.09808349609375e-05
515,6833,1.7881393432617188e-05
914,6318,1.71661376953125e-05
368,5404,1.9311904907226562e-05
368,5036,1.1920928955078125e-05
368,4668,1.4781951904296875e-05
368,4300,1.2636184692382812e-05
1767,3932,1.8835067749023438e-05
368,6261,1.6927719116210938e-05
368,5893,1.3113021850585938e-05
525,5525,1.8358230590820312e-05
368,5000,1.1920928955078125e-05
573,4632,2.193450927734375e-05
368,4059,1.6927719116210938e-05
509,3691,1.71661376953125e-05
703,3182,1.71661376953125e-05
368,6575,1.6927719116210938e-05
522,6207,2.574920654296875e-05
368,5685,1.811981201171875e-05
368,5317,1.1682510375976562e-05
368,4949,1.3828277587890625e-05
368,4581,1.3113021850585938e-05
664,4213,1.7881393432617188e-05
368,3549,1.2159347534179688e-05
2178,3181,2.0265579223632812e-05
368,5099,1.1920928955078125e-05
750,4731,2.8133392333984375e-05
368,3981,1.0967254638671875e-05
368,3613,1.0967254638671875e-05
368,3245,1.1920928955078125e-05
368,2877,1.9788742065429688e-05
368,2509,1.5020370483398438e-05
368,2141,1.5735626220703125e-05
368,1773,1.4066696166992188e-05
368,1405,1.4066696166992188e-05
416,1037,1.7881393432617188e-05
368,621,1.2159347534179688e-05
253,253,2.3126602172851562e-05
368,4096,1.2159347534179688e-05
900,3728,2.1219253540039062e-05
368,2828,1.3113021850585938e-05
368,2460,1.1682510375976562e-05
368,2092,2.384185791015625e-05
368,1724,1.52587890625e-05
368,1356,1.5020370483398438e-05
368,988,1.2874603271484375e-05
368,620,1.3113021850585938e-05
252,252,1.5735626220703125e-05
368,4096,1.2159347534179688e-05
2188,3728,1.6927719116210938e-05
368,1540,1.52587890625e-05
882,1172,1.52587890625e-05
290,290,1.1920928955078125e-05
0,0,1.0967254638671875e-05
0,0,1.0967254638671875e-05
368,4096,1.811981201171875e-05
368,3728,1.71661376953125e-05
368,3360,1.3113021850585938e-05
554,2992,1.5974044799804688e-05
368,2438,1.1920928955078125e-05
2070,2070,2.193450927734375e-05
0,0,9.059906005859375e-06
0,0,2.2172927856445312e-05
368,4096,1.4066696166992188e-05
368,3728,1.5020370483398438e-05
368,3360,1.2874603271484375e-05
368,2992,1.2159347534179688e-05
368,2624,1.0013580322265625e-05
1389,2256,2.5033950805664062e-05
368,867,1.4066696166992188e-05
368,499,1.3113021850585938e-05
131,131,2.8133392333984375e-05
368,4096,1.2159347534179688e-05
368,3728,1.6689300537109375e-05
796,3360,1.7881393432617188e-05
368,2564,1.3113021850585938e-05
368,2196,1.8358230590820312e-05
368,1828,1.8835067749023438e-05
368,1460,1.4781951904296875e-05
368,1092,1.5020370483398438e-05
368,724,1.4066696166992188e-05
356,356,1.4781951904296875e-05
0,0,1.2159347534179688e-05
0,0,2.7179718017578125e-05
368,4096,1.5020370483398438e-05
368,3728,1.4066696166992188e-05
368,3360,1.2159347534179688e-05
368,2992,1.3113021850585938e-05
368,2624,1.0967254638671875e-05
960,2256,2.09808349609375e-05
368,1296,1.2159347534179688e-05
368,928,2.09808349609375e-05
368,560,1.4066696166992188e-05
192,192,1.3113021850585938e-05
0,0,1.1205673217773438e-05
0,0,1.0967254638671875e-05
0,0,1.9073486328125e-05
0,0,1.0967254638671875e-05
0,0,1.8835067749023438e-05
368,4096,1.3113021850585938e-05
803,3728,2.193450927734375e-05
368,2925,1.2159347534179688e-05
368,2557,1.1920928955078125e-05
368,2189,2.6941299438476562e-05
368,1821,1.71661376953125e-05
368,1453,1.4066696166992188e-05
368,1085,1.2636184692382812e-05
368,4813,1.4066696166992188e-05
434,4445,1.6927719116210938e-05
368,4011,1.1920928955078125e-05
